id,employee_status,country_residence,gender,age,cust_new,cust_seniority,init_cust_that_left,ult_fec_cli_1t,indrel_1mes,cust_relation_start_of_month,residence_index,foreigner_index,spouse,input_channel,indfall,tipodom,province_code,province_name,cust_active,gross_income,segmentation,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
1050596,N,ES,H,25,0,35,1,,1,A,S,S,,KHE,N,1,50,ZARAGOZA,1,68421.36,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050597,N,ES,H,23,0,35,1,,1,A,S,N,,KHE,N,1,45,TOLEDO,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050598,N,ES,H,23,0,35,1,,1,A,S,N,,KHE,N,1,45,TOLEDO,1,90408.75,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050599,N,ES,V,24,0,35,1,,1,I,S,N,,KHE,N,1,49,ZAMORA,0,74780.37,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050601,N,ES,V,26,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,120146.49,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050602,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,37,SALAMANCA,1,91282.71,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050603,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,50,ZARAGOZA,1,131351.94,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050604,N,ES,H,53,0,35,1,,1,A,S,N,,KHE,N,1,37,SALAMANCA,0,113279.1,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050607,N,ES,V,27,0,35,1,,1,I,S,N,,KHE,N,1,40,SEGOVIA,0,70777.59,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050580,N,ES,H,23,0,35,1,,1,A,S,N,,KHE,N,1,27,LUGO,1,77320.92,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050628,N,ES,V,22,0,35,1,,1,I,S,N,,KHE,N,1,25,LERIDA,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050630,N,ES,V,22,0,35,1,,1,I,S,S,,KHD,N,1,8,BARCELONA,0,64398.06,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050669,N,ES,V,32,0,35,1,,1,A,S,N,,KFC,N,1,29,MALAGA,1,171398.85,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050670,N,ES,V,37,0,35,1,,1,A,S,N,,KFC,N,1,37,SALAMANCA,1,64031.25,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1050676,N,ES,V,31,0,35,1,,1,A,S,N,,KFC,N,1,45,TOLEDO,0,90431.85,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1050679,N,ES,V,39,0,35,1,,1,A,S,N,,KFC,N,1,28,MADRID,1,157191.69,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050680,N,ES,V,53,0,35,1,,1,A,S,N,,KFC,N,1,8,BARCELONA,0,133092.33,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050686,N,ES,V,39,0,35,1,,1,A,S,N,,KFC,N,1,10,CACERES,1,37075.26,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1050688,N,ES,V,63,0,35,1,,1,A,S,N,,KFC,N,1,28,MADRID,1,245052.27,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1050693,N,ES,V,37,0,35,1,,1,A,S,N,,KFC,N,1,8,BARCELONA,0,104035.08,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050694,N,ES,V,31,0,35,1,,1,A,S,N,,KFC,N,1,28,MADRID,1,57155.34,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1050697,N,ES,H,33,0,35,1,,1,A,S,N,,KFC,N,1,28,MADRID,1,,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050703,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,22,HUESCA,0,53631.36,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050704,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,8,BARCELONA,0,72880.8,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050706,N,ES,H,33,0,35,1,,1,I,S,N,,KHE,N,1,37,SALAMANCA,1,84061.95,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050707,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,3,ALICANTE,0,106686.96,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050710,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,3,ALICANTE,0,132398.4,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050663,N,ES,H,23,0,35,1,,1,A,S,N,,KFC,N,1,42,SORIA,1,148080.45,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050629,N,ES,V,55,0,35,1,,1,I,S,N,,KHE,N,1,50,ZARAGOZA,0,101919.09,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050662,N,ES,V,37,0,35,1,,1,A,S,N,,KAT,N,1,28,MADRID,1,122456.91,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1050660,N,ES,H,32,0,35,1,,1,A,S,N,,KFC,N,1,41,SEVILLA,1,94683.27,03 - UNIVERSITARIO,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1050632,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,8,BARCELONA,0,289211.4,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050633,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,45,TOLEDO,1,34406.58,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050634,N,ES,H,55,0,35,1,,1,I,S,N,,KHE,N,1,50,ZARAGOZA,0,101919.09,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050635,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,37,SALAMANCA,1,77346.51,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050636,N,ES,H,23,0,35,1,,1,A,S,N,,KHE,N,1,39,CANTABRIA,1,136930.23,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1050639,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,148677.18,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050641,N,ES,V,42,0,35,1,,1,A,S,N,,KFC,N,1,28,MADRID,1,45345.18,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050642,N,ES,V,58,0,35,1,,1,I,S,N,,KFC,N,1,29,MALAGA,0,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1050647,N,ES,H,38,0,35,1,,1,A,S,N,,KAT,N,1,3,ALICANTE,1,28359.36,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050648,N,ES,V,50,0,35,1,,1,A,S,N,,KAT,N,1,28,MADRID,1,137894.64,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050651,N,ES,H,30,0,35,1,,1,A,S,N,,KFC,N,1,7,"BALEARS, ILLES",1,139502.28,02 - PARTICULARES,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1050652,N,ES,H,31,0,35,1,,1,A,S,N,,KFC,N,1,47,VALLADOLID,1,149099.88,03 - UNIVERSITARIO,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1050655,N,ES,H,45,0,35,1,,1,A,S,N,,KFC,N,1,36,PONTEVEDRA,1,95302.5,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050658,N,ES,H,44,0,35,1,,1,I,S,N,,KAT,N,1,28,MADRID,0,110245.53,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1050659,N,ES,V,39,0,35,1,,1,A,S,N,,KFC,N,1,7,"BALEARS, ILLES",1,,02 - PARTICULARES,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1
1050661,N,ES,V,37,0,35,1,,1,A,S,N,,KFC,N,1,46,VALENCIA,1,60072.81,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1050711,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,49,ZAMORA,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050579,N,ES,H,27,0,35,1,,1,I,S,N,,KHD,N,1,44,TERUEL,0,34802.01,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050577,N,ES,H,23,0,35,1,,1,A,S,N,,KHE,N,1,22,HUESCA,1,79998.72,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050507,N,ES,V,27,0,35,1,,1,A,S,N,,KHE,N,1,46,VALENCIA,1,55331.31,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050508,N,ES,H,27,0,35,1,,1,A,S,S,,KHE,N,1,8,BARCELONA,1,173223.78,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050509,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,50,ZARAGOZA,0,47332.86,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050511,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,15,"CORU?A, A",1,111933,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050512,N,ES,H,31,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,107634.66,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050513,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,46,VALENCIA,0,55561.62,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050514,N,ES,H,28,0,35,1,,1,I,S,S,,KHE,N,1,8,BARCELONA,0,215373.3,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050515,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,10,CACERES,0,64258.14,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050516,N,ES,H,24,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050517,N,ES,V,27,0,35,1,,1,A,S,N,,KHE,N,1,22,HUESCA,1,59930.22,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050520,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,162609.54,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050521,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,32,OURENSE,1,74708.49,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050522,N,ES,V,25,0,35,1,,1,I,S,N,,KHE,N,1,50,ZARAGOZA,0,68155.5,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050523,N,ES,H,24,0,35,1,,1,I,S,N,,KHE,N,1,46,VALENCIA,0,77383.98,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050524,N,ES,V,25,0,35,1,,1,I,S,N,,KHE,N,1,27,LUGO,0,56347.68,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050505,N,ES,V,25,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,112330.35,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050525,N,ES,H,26,0,35,1,,1,I,S,N,,KHE,N,1,28,MADRID,0,95392.71,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050504,N,ES,V,36,0,35,1,,1,I,S,N,,KHE,N,1,23,JAEN,0,73020.18,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050502,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050487,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,15,"CORU?A, A",0,101293.11,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050488,N,ES,V,26,0,35,1,,1,A,S,N,,KHE,N,1,22,HUESCA,1,113580.78,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050489,N,ES,H,23,0,35,1,,1,A,S,N,,KHE,N,1,8,BARCELONA,1,158207.4,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050490,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,13,CIUDAD REAL,1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050491,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,60067.86,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050492,N,ES,V,25,0,35,1,,1,A,S,N,,KHE,N,1,45,TOLEDO,1,77713.95,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050493,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,37,SALAMANCA,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050494,N,ES,V,38,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,42423.03,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050495,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,27,LUGO,1,154107.09,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050496,N,ES,V,28,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,93241.92,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050497,N,ES,H,23,0,35,1,,1,I,S,S,,KHE,N,1,45,TOLEDO,0,46257.72,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050498,N,ES,V,24,0,35,1,,1,I,S,N,,KHE,N,1,16,CUENCA,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050499,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,8,BARCELONA,0,130311.75,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050500,N,ES,V,24,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,0,58682.34,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050501,N,ES,V,63,0,35,1,,1,A,S,N,,KHE,N,1,13,CIUDAD REAL,1,58682.34,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050503,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,36,PONTEVEDRA,1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050578,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,10,CACERES,0,103775.1,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050526,N,ES,V,22,0,35,1,,1,I,S,N,,KHE,N,1,50,ZARAGOZA,0,59551.65,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050529,N,ES,H,24,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,0,36372,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
